docID,date,refDocID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
191303,2015-10-05,176431,113,news,infrastructure,osborne,funds,billion,labour,pounds,britain,government,policy,minister,pension,reuters,invest,manchester,investment,opposition,finance,built,business
192801,2015-10-06,189260,114,budget,defense,spending,dod,northrop,fy,presentation,request,below,systems,funding,contractor,source,northrops,program,programs,air,look,force,rdte
193313,2015-10-06,169169,115,european,capital,infrastructure,cmu,markets,companies,funds,investment,insurers,pension,eu,union,bonds,insurance,seeking,market,pro,alpha,commission,bank
193453,2015-10-06,189260,116,news,spending,defense,senate,bill,budget,democrats,authorization,military,vote,national,reuters,obama,mccain,funds,republicans,house,business,ndaa,security
193504,2015-10-06,187973,117,news,rousseffs,brazils,reuters,congress,government,vetoes,bills,billion,reais,raise,spending,accounts,cabinet,wednesday,business,attempt,rousseff,time,minutes
194109,2015-10-07,184108,118,data,construction,manufacturing,spending,growth,ism,below,investment,time,billion,activity,annualized,residential,investors,basis,housing,fixed,seeking,levels,pro
194299,2015-10-07,172803,119,news,reuters,spending,business,vetoes,rousseff,minutes,thomson,congress,delayed,uphold,click,information,finance,requires,wednesday,government,subject,worlds,nasdaq
194577,2015-10-07,194299,120,news,reuters,business,government,vetoes,minutes,thomson,congress,delayed,spending,click,information,rousseffs,cabinet,finance,requires,wednesday,subject,worlds,nasdaq
194999,2015-10-07,173388,121,quarter,fiscal,thats,million,sales,little,aerospace,dont,story,actually,total,park,bit,electronics,august,maybe,compared,mean,talking,talk
195268,2015-10-08,164486,122,spending,gasoline,prices,gas,data,study,consumer,jp,morgan,real,consumers,savings,chase,time,individuals,report,economics,households,lower,pump
195474,2015-10-08,177065,123,policy,seeking,keynesian,economic,economics,alpha,monetary,government,qe,policies,developed,produce,economies,austrian,pro,term,bank,economy,leave,central
196246,2015-10-09,174449,124,quarter,million,fiscal,sales,beauty,business,foreign,continue,results,impact,call,currency,compared,growth,product,revenue,expect,healthy,half,savings
196455,2015-10-09,164866,125,infrastructure,investors,billion,percent,logistics,countries,seeking,clark,global,investment,expected,regional,attract,southeast,zone,spending,pro,alpha,freeport,indonesia
197135,2015-10-09,194299,126,news,fiscal,reuters,shutdown,drama,business,government,journalists,default,fed,minutes,thomson,congress,delayed,confidence,york,debt,click,information,top
197603,2015-10-10,185222,127,government,news,unity,libya,united,national,political,western,reuters,agreement,country,proposed,nations,hard,business,allies,delays,chaos,governments,international
198678,2015-10-12,171870,128,spending,ministry,government,billion,projects,saudi,finance,news,budget,reuters,money,cuts,oil,bodies,arabia,sources,unspent,financial,allocated,riyadh
199653,2015-10-13,184108,129,home,consumer,spending,depot,quarter,households,average,fiscal,worth,liquidity,seeking,pro,alpha,look,tickets,sales,thank,net,market,transaction
200046,2015-10-13,197603,130,government,reforms,news,economic,sector,demands,political,reuters,social,tunisia,tensions,public,reform,minister,essid,lenders,lack,essids,tourism,international
200345,2015-10-13,167365,131,trillion,news,sanders,reuters,breakingviews,spending,tax,business,government,revenue,bring,cost,percent,bernie,economy,taxes,calculates,based,free,college
200354,2015-10-13,189007,132,news,reuters,spending,spain,tax,including,budget,finance,business,security,revenues,social,minutes,thomson,offset,deficit,delayed,regions,increased,cancel
200449,2015-10-13,157872,133,fiscal,lightweight,quarter,products,sales,private,thank,business,earnings,dont,oildri,china,performance,label,rate,product,market,lower,accounts,benefit
