Date,Open,High,Low,Close,Volume,Adj Close,PB,NASDAQ
2/18/2016,105.800003,106,103.029999,103.470001,29593500,103.470001,6.66,1
2/17/2016,102.019997,105.720001,100.400002,105.199997,44073400,105.199997,6.772,1
2/16/2016,103.800003,103.93,100.239998,101.610001,45687200,101.610001,6.541,1
2/12/2016,103.739998,104.239998,101.089996,102.010002,36176800,102.010002,6.566,1
2/11/2016,99.599998,105.110001,98.879997,101.910004,43670600,101.910004,6.56,1
2/10/2016,101.550003,103.25,100.239998,101,45179400,101,6.501,1
2/9/2016,97.139999,102.400002,96.82,99.540001,62709000,99.540001,6.407,1
2/8/2016,100.410004,102.68,97.459999,99.75,71229700,99.75,6.421,1
2/5/2016,109.510002,109.580002,103.18,104.07,76894700,104.07,6.699,1
2/4/2016,111.800003,111.940002,109.25,110.489998,38890200,110.489998,7.112,1
2/3/2016,115.269997,115.339996,109.75,112.690002,56919300,112.690002,7.254,1
2/2/2016,114.800003,117.589996,113.199997,114.610001,59778600,114.610001,7.377,1
2/1/2016,112.269997,115.720001,112.010002,115.089996,46132700,115.089996,7.408,1
1/29/2016,108.989998,112.839996,108.839996,112.209999,62739500,112.209999,7.223,1
1/28/2016,107.199997,110.339996,104.809998,109.110001,107475300,109.110001,7.023,1
1/27/2016,97.790001,97.849998,94.230003,94.449997,58699400,94.449997,6.08,1
1/26/2016,97.760002,97.879997,95.660004,97.339996,26877100,97.339996,6.266,1
1/25/2016,98.720001,99.480003,96.93,97.010002,32482000,97.010002,6.244,1
1/22/2016,96.410004,98.07,95.489998,97.940002,30495400,97.940002,6.277,1
1/21/2016,94.910004,95.989998,92.620003,94.160004,30518900,94.160004,6.035,1
1/20/2016,92.830002,95,89.370003,94.349998,59051400,94.349998,6.047,1
1/19/2016,96.529999,97.419998,93.919998,95.260002,30998300,95.260002,6.105,1
1/15/2016,93.980003,96.379997,93.540001,94.970001,46132800,94.970001,6.087,1
1/14/2016,95.849998,98.870003,92.449997,98.370003,48658600,98.370003,6.305,1
1/13/2016,100.580002,100.580002,95.209999,95.440002,33410600,95.440002,6.117,1
1/12/2016,99,99.959999,97.550003,99.370003,28395400,99.370003,6.369,1
1/11/2016,97.910004,98.599998,95.389999,97.510002,29932400,97.510002,6.25,1
1/8/2016,99.879997,100.5,97.029999,97.330002,35402300,97.330002,6.238,1
1/7/2016,100.5,101.43,97.300003,97.919998,45172900,97.919998,6.276,1
1/6/2016,101.129997,103.769997,100.900002,102.970001,25096200,102.970001,6.6,1
1/5/2016,102.889999,103.709999,101.669998,102.730003,23258200,102.730003,6.584,1
1/4/2016,101.949997,102.239998,99.75,102.220001,37912400,102.220001,6.551,1
12/31/2015,106,106.169998,104.620003,104.660004,18391100,104.660004,6.708,1
12/30/2015,107,107.25,106.059998,106.220001,13115000,106.220001,7.252,1
12/29/2015,106.419998,107.739998,106.25,107.260002,17179900,107.260002,7.323,1
12/28/2015,105.019997,105.980003,104.529999,105.93,13069700,105.93,7.232,1
12/24/2015,104.739998,105.32,104.5,105.019997,6512100,105.019997,7.17,1
12/23/2015,105.889999,106.110001,103.860001,104.629997,19599700,104.629997,7.144,1
